timestamp,ticker,horizon,model,loss_type,train_loss,test_rmse,test_mae,test_mape
2026-06-28 19:00:43,ADANIENT.NS,1d,Linear_Regression,MSE,0.0,0.02532885595279749,0.018847128918856877,467.62208215221887
2026-06-28 19:00:43,ADANIENT.NS,1d,Plain_LSTM,MSE,0.0,0.019135729801666487,0.01259805951160551,355.1720393285545
2026-06-28 19:00:43,ADANIENT.NS,1d,LSTM_Sentiment,MSE,0.0,0.018668146843857363,0.013465609544739347,374.63869249519195
2026-06-28 19:01:00,ADANIENT.NS,3d,Linear_Regression,MSE,0.0,0.0439956936534588,0.032982507534672786,512.6626263692771
2026-06-28 19:01:00,ADANIENT.NS,3d,Plain_LSTM,MSE,0.0,0.03277160290032293,0.023409103585767164,138.35885158952456
2026-06-28 19:01:00,ADANIENT.NS,3d,LSTM_Sentiment,MSE,0.0,0.03232327611670577,0.024431810216389155,310.9543282557637
2026-06-28 19:01:17,ADANIENT.NS,7d,Linear_Regression,MSE,0.0,0.05879958432912194,0.04673015386496457,254.73080803882948
2026-06-28 19:01:17,ADANIENT.NS,7d,Plain_LSTM,MSE,0.0,0.05642234784757139,0.04886940587872486,324.8593902821476
2026-06-28 19:01:17,ADANIENT.NS,7d,LSTM_Sentiment,MSE,0.0,0.052718692317261666,0.043851866748097046,196.19625188313668
2026-06-28 19:01:34,HCLTECH.NS,1d,Linear_Regression,MSE,0.0,0.019084696423486668,0.013807636742451657,1468.7774654988473
2026-06-28 19:01:34,HCLTECH.NS,1d,Plain_LSTM,MSE,0.0,0.016262410597204627,0.011448401138269514,269.63806335417695
2026-06-28 19:01:34,HCLTECH.NS,1d,LSTM_Sentiment,MSE,0.0,0.015914050042766692,0.011085015275266076,187.29665171447866
2026-06-28 19:01:51,HCLTECH.NS,3d,Linear_Regression,MSE,0.0,0.033841468125476594,0.025877291047710284,276.8215438649935
2026-06-28 19:01:51,HCLTECH.NS,3d,Plain_LSTM,MSE,0.0,0.02980760876782244,0.02216473730833856,125.01519160180017
2026-06-28 19:01:51,HCLTECH.NS,3d,LSTM_Sentiment,MSE,0.0,0.029200378391658073,0.021714664350293938,103.91517103592831
2026-06-28 19:02:08,HCLTECH.NS,7d,Linear_Regression,MSE,0.0,0.05733932321161054,0.04547790432323228,298.2411101073071
2026-06-28 19:02:08,HCLTECH.NS,7d,Plain_LSTM,MSE,0.0,0.04647398319678657,0.036197568389093715,145.57961633180585
2026-06-28 19:02:08,HCLTECH.NS,7d,LSTM_Sentiment,MSE,0.0,0.048316229425763135,0.03611800298315308,166.93711766704723
2026-06-28 19:02:25,HINDALCO.NS,1d,Linear_Regression,MSE,0.0,0.032768374016548946,0.02425821743001901,939.4128768258921
2026-06-28 19:02:25,HINDALCO.NS,1d,Plain_LSTM,MSE,0.0,0.016968672758469257,0.012906424521639532,151.8528691909876
2026-06-28 19:02:25,HINDALCO.NS,1d,LSTM_Sentiment,MSE,0.0,0.01756314771901975,0.013500704007450324,172.54399072928786
2026-06-28 19:02:43,HINDALCO.NS,3d,Linear_Regression,MSE,0.0,0.045128713800480974,0.03646562447767782,583.8133720891601
2026-06-28 19:02:43,HINDALCO.NS,3d,Plain_LSTM,MSE,0.0,0.03373090832886163,0.027182444455138895,227.12232650628513
2026-06-28 19:02:43,HINDALCO.NS,3d,LSTM_Sentiment,MSE,0.0,0.03391727373933851,0.027045922287998462,236.993153192192
2026-06-28 19:03:00,HINDALCO.NS,7d,Linear_Regression,MSE,0.0,0.08900836727491279,0.06966887389213024,330.554217429381
2026-06-28 19:03:00,HINDALCO.NS,7d,Plain_LSTM,MSE,0.0,0.07645444765123098,0.06259794908892534,251.09180873600363
2026-06-28 19:03:00,HINDALCO.NS,7d,LSTM_Sentiment,MSE,0.0,0.0561692715975196,0.04660005214834855,132.20023918965038
2026-06-28 19:03:17,ICICIBANK.NS,1d,Linear_Regression,MSE,0.0,0.013915709096835536,0.010403430048092478,410.83009497880096
2026-06-28 19:03:17,ICICIBANK.NS,1d,Plain_LSTM,MSE,0.0,0.009488077153088569,0.007156735677484244,101.8232701779606
2026-06-28 19:03:17,ICICIBANK.NS,1d,LSTM_Sentiment,MSE,0.0,0.009531137908323781,0.007116220029517514,117.1954382508615
2026-06-28 19:03:34,ICICIBANK.NS,3d,Linear_Regression,MSE,0.0,0.022102053293527095,0.01636300213028626,305.1270416352753
