Horizon,Model,RMSE,MAE,MAPE
1d,Linear_Regression,0.5624264267316966,0.422620444268326,35703.86692065195
1d,Plain_LSTM,0.022037627323452276,0.013796588370733312,932.1210916237615
1d,LSTM_Sentiment,0.022328468226969742,0.014565579923150117,671.6266315876726
1d,Regime_MoE,0.0231986223677048,0.013913811380975772,990.2325182969286
3d,Linear_Regression,1.8317132662569158,1.1941741461055555,30653.01980138151
3d,Plain_LSTM,0.044391933760905375,0.030511906185319154,476.9950085167842
3d,LSTM_Sentiment,0.036327097719296306,0.024602654484042127,427.6760601943931
3d,Regime_MoE,0.03474087748715483,0.022606855429395223,319.67645709127777
7d,Linear_Regression,3.700009820200391,2.423755800080759,35275.17345794352
7d,Plain_LSTM,0.0635322797509038,0.04928372227131736,752.2160294713547
7d,LSTM_Sentiment,0.06006205188842171,0.044881057439456994,578.4665478907136
7d,Regime_MoE,0.05966239281766775,0.044970814773653056,465.82171645903276
