Stock,Horizon,Model,RMSE,MAE,MAPE
ADANIENT.NS,1d,Linear_Regression,2.157496617158668,2.1561029660050384,180160.15923379964
ADANIENT.NS,1d,Plain_LSTM,0.020416010357960205,0.016248459733416768,809.0269754477607
ADANIENT.NS,1d,LSTM_Sentiment,0.02294673224147103,0.019182211629777544,1244.056991183768
ADANIENT.NS,1d,Regime_MoE,0.026656814461839526,0.023026168871700885,1642.7134945337482
HCLTECH.NS,1d,Linear_Regression,1.0198483787062045,0.9788397320532727,94730.78295698517
HCLTECH.NS,1d,Plain_LSTM,0.01948560930270099,0.014341675520144186,775.7821348186271
HCLTECH.NS,1d,LSTM_Sentiment,0.01608013879718639,0.011162125808186997,343.14867029610497
HCLTECH.NS,1d,Regime_MoE,0.016126455544697816,0.011241818083327446,338.28743931261556
HINDALCO.NS,1d,Linear_Regression,0.18479750236597245,0.14051464113616297,3533.0275730449544
HINDALCO.NS,1d,Plain_LSTM,0.017724032729903246,0.013483119311523602,197.44218432080436
HINDALCO.NS,1d,LSTM_Sentiment,0.026223637704953187,0.020418671775298464,530.3628669427385
HINDALCO.NS,1d,Regime_MoE,0.020845219907525043,0.016366718832847203,252.319520275693
ICICIBANK.NS,1d,Linear_Regression,0.24807920463163516,0.23258528001375298,10235.369107219383
ICICIBANK.NS,1d,Plain_LSTM,0.01414714691560469,0.01117662148796437,389.11324640744016
ICICIBANK.NS,1d,LSTM_Sentiment,0.013382083692747971,0.01077975663029409,365.21429330219803
ICICIBANK.NS,1d,Regime_MoE,0.014561757624020405,0.011014937723949335,389.74935409845557
INDIGO.NS,1d,Linear_Regression,0.226695832018052,0.17665296086917776,7650.228090172699
INDIGO.NS,1d,Plain_LSTM,0.01789789146694871,0.01278662841612063,269.05509520117994
INDIGO.NS,1d,LSTM_Sentiment,0.019159072455218633,0.014078565427146382,454.2000996942041
INDIGO.NS,1d,Regime_MoE,0.01738624802717789,0.012557738828779197,228.16326988660654
MARUTI.NS,1d,Linear_Regression,0.46676729190708527,0.42243834558264215,63570.82579420552
MARUTI.NS,1d,Plain_LSTM,0.015009501826565717,0.01208896409097503,1026.0737094425497
MARUTI.NS,1d,LSTM_Sentiment,0.02808255929443203,0.02296252930469714,2873.144623915329
MARUTI.NS,1d,Regime_MoE,0.011871211479875675,0.008986186402718466,453.09210297201224
ONGC.NS,1d,Linear_Regression,0.371062006439831,0.35864829812083393,14077.855023350825
ONGC.NS,1d,Plain_LSTM,0.027999237278410253,0.019760218802473025,336.3838192579887
ONGC.NS,1d,LSTM_Sentiment,0.02096752594370744,0.014512773653102908,227.12492521491464
ONGC.NS,1d,Regime_MoE,0.018350037482019587,0.013001324049778206,166.37129980512304
TRENT.NS,1d,Linear_Regression,0.44180771791646434,0.2792790370875904,17773.48032956963
TRENT.NS,1d,Plain_LSTM,0.03601480760852863,0.020678566551445194,3159.9667773079004
TRENT.NS,1d,LSTM_Sentiment,0.037968765565740754,0.025316318653524888,1983.4180117148132
TRENT.NS,1d,Regime_MoE,0.05278214244557215,0.037031726358787105,4488.231048268837
ADANIENT.NS,3d,Linear_Regression,2.111533461025112,2.108266156513312,66089.33289844808
ADANIENT.NS,3d,Plain_LSTM,0.051155855585631696,0.04577608059073346,1455.2808277597471
ADANIENT.NS,3d,LSTM_Sentiment,0.03917667129887115,0.033184197584312486,857.7209026408326
ADANIENT.NS,3d,Regime_MoE,0.03271888665616801,0.025409299664667255,515.2145012545053
HCLTECH.NS,3d,Linear_Regression,3.7682656789953337,3.7256092533484235,62198.49031073969
HCLTECH.NS,3d,Plain_LSTM,0.06501732645372582,0.04862472119381104,460.29803683597794
HCLTECH.NS,3d,LSTM_Sentiment,0.03378502396126403,0.02603453520565762,289.43301908523625
